Rifugiato,ID Annuncio,Titolo Annuncio,Somiglianza
hbenjamin@example.net,142,Addetto/a supporto anziani - Contratto diretto,0.7897837
hbenjamin@example.net,73,Addetto/a assistenza IT - Opportunità stabile,0.67568713
hhoward@example.net,169,Web Developer e Creatore di Contenuti - Inizio immediato!,0.73781854
hhoward@example.net,202,Creazione di contenuti multilingue per aziende,0.73375916
hhoward@example.net,74,Web designer per progetti locali - Lavoro flessibile,0.6762251
isalas@example.org,210,Grafico/a Designer - Inizio immediato!,0.7397809
isalas@example.org,78,Grafico/a freelance - Collaborazione creativa,0.7143183
isalas@example.org,209,Designer 3D e Tutoraggio Universitario - Opportunità di crescita!,0.64469504
jdunn@example.net,176,Specialista SEO e digital marketing,0.6446395
jdunn@example.net,186,Personal Trainer e Istruttore Sportivo - Inizio immediato!,0.643196
jdunn@example.net,195,Consulente Nutrizionale e Specialista in Diete - Contratto immediato!,0.60074544
jenniferking@example.net,206,Esperto/a di automazione e organizzazione eventi - Contratto immediato!,0.6686037
jenniferking@example.net,66,Organizzatore di eventi - Lavoro dinamico,0.62955165
jenniferking@example.net,190,Operaio/a produzione alimentare - Turni mattutini,0.6089945
jessica52@example.org,185,Verniciatore industriale - Contratto immediato,0.7187137
jessica52@example.org,183,Tecnico manutenzione macchinari industriali,0.7160281
jessica52@example.org,15,Elettricista industriale - Inserimento diretto in azienda,0.7014213
jill46@example.net,25,Interpretariato in Tempo Reale - Contratto Immediato!,0.7734498
jill46@example.net,219,Addetto/a al lavaggio e trattamenti benessere - Contratto immediato!,0.63001406
jill46@example.net,123,Addetto/a trasporti pesanti - Retribuzione garantita,0.5900899
joharper@example.net,48,Insegnante di italiano per stranieri - Progetto inclusivo,0.77913725
joharper@example.net,208,Gestore/a Relazioni con i Clienti - Inizio Immediato!,0.6759872
joharper@example.net,700,Idraulico impianti residenziali e commerciali,0.6483065
joshua57@example.net,204,Animatore/trice per eventi per bambini,0.8379362
joshua57@example.net,215,Animatore/Animatrice per eventi e supporto educativo - Contratto immediato!,0.80965495
joshua57@example.net,66,Organizzatore di eventi - Lavoro dinamico,0.5570245
karlwillis@example.net,202,Creazione di contenuti multilingue per aziende,0.9865117
karlwillis@example.net,129,Creatore di contenuti multilingue per aziende,0.8250931
karlwillis@example.net,221,Magazziniere con esperienza - Turni flessibili,0.61787105
kennethhouston@example.org,135,Organizzatore di spazi e Creatore di contenuti - Inizio immediato!,0.8094432
kennethhouston@example.org,56,Specialista in Creazione di Corsi Online - Inizio immediato!,0.6499044
kennethhouston@example.org,218,Specialista nella Creazione di Corsi Online - Inizio Immediato!,0.64588654
kevin28@example.org,362,Idraulico impianti residenziali e commerciali,0.70956206
kevin28@example.org,335,Idraulico impianti residenziali e commerciali,0.7041559
kevin28@example.org,700,Idraulico impianti residenziali e commerciali,0.70170265
kpatton@example.net,216,Assistente Scolastico e Cuoco/a per famiglia - Inizio immediato!,0.72816
kpatton@example.net,106,Aiuto pasticcere per laboratorio locale - Turni mattutini,0.6317945
kpatton@example.net,207,Assistente domestico e per disabilità - Turni flessibili!,0.62354577
lgreen@example.com,104,Barista esperto in mixology - Opportunità di crescita,0.741531
lgreen@example.com,237,Barista per caffetteria storica - Turni flessibili,0.7252026
lgreen@example.com,5,Barista in caffetteria accogliente - Full time o part time,0.65668577
maxwellkim@example.net,207,Assistente domestico e per disabilità - Turni flessibili!,0.74533844
maxwellkim@example.net,216,Assistente Scolastico e Cuoco/a per famiglia - Inizio immediato!,0.7063172
maxwellkim@example.net,135,Organizzatore di spazi e Creatore di contenuti - Inizio immediato!,0.69592816
meyersjason@example.org,202,Creazione di contenuti multilingue per aziende,0.92855775
meyersjason@example.org,129,Creatore di contenuti multilingue per aziende,0.79483205
meyersjason@example.org,362,Idraulico impianti residenziali e commerciali,0.71258086
nboyer@example.org,46,Tutor scolastico per ripetizioni - Compensi orari garantiti,0.7080679
nboyer@example.org,209,Designer 3D e Tutoraggio Universitario - Opportunità di crescita!,0.64411646
nboyer@example.org,147,Assistente scolastico per alunni con bisogni speciali,0.64082325
patricia61@example.net,179,Junior data analyst - Opportunità in smart working,0.6068205
patricia61@example.net,147,Assistente scolastico per alunni con bisogni speciali,0.57716775
patricia61@example.net,47,Operatore/trice assistenza disabili - Formazione inclusa,0.55855
perkinsvirginia@example.org,186,Personal Trainer e Istruttore Sportivo - Inizio immediato!,0.89917296
perkinsvirginia@example.org,150,Personal Trainer - Inizio Immediato!,0.8487243
perkinsvirginia@example.org,71,Tecnico informatico junior - Formazione inclusa,0.6503605
rachel19@example.com,209,Designer 3D e Tutoraggio Universitario - Opportunità di crescita!,0.859763
rachel19@example.com,213,Designer 3D e Specialista SEO - Inizio immediato!,0.7042369
rachel19@example.com,173,Progettista CAD per aziende industriali,0.6567187
randy59@example.com,209,Designer 3D e Tutoraggio Universitario - Opportunità di crescita!,0.6896931
randy59@example.com,213,Designer 3D e Specialista SEO - Inizio immediato!,0.64855975
randy59@example.com,18,Tecnico del legno per lavori artigianali - Opportunità locale,0.6071283
rlee@example.net,177,Assistente tecnico per installazione software,0.6218333
rlee@example.net,205,Tecnico Informatico Junior,0.6078779
rlee@example.net,75,Specialista reti e telecomunicazioni - Posizione immediata,0.5770583
ryan92@example.net,195,Consulente Nutrizionale e Specialista in Diete - Contratto immediato!,0.67243683
ryan92@example.net,56,Specialista in Creazione di Corsi Online - Inizio immediato!,0.55049515
ryan92@example.net,218,Specialista nella Creazione di Corsi Online - Inizio Immediato!,0.54793775
ryan96@example.com,186,Personal Trainer e Istruttore Sportivo - Inizio immediato!,0.8551515
ryan96@example.com,150,Personal Trainer - Inizio Immediato!,0.81110805
ryan96@example.com,106,Aiuto pasticcere per laboratorio locale - Turni mattutini,0.64881545
ryancherry@example.org,204,Animatore/trice per eventi per bambini,0.8557012
ryancherry@example.org,215,Animatore/Animatrice per eventi e supporto educativo - Contratto immediato!,0.7163959
ryancherry@example.org,66,Organizzatore di eventi - Lavoro dinamico,0.55931175
sanderspeggy@example.net,48,Insegnante di italiano per stranieri - Progetto inclusivo,0.6772599
sanderspeggy@example.net,221,Magazziniere con esperienza - Turni flessibili,0.6217211
sanderspeggy@example.net,21,Addetto/a alla pulizia industriale,0.6211495
sara66@example.net,177,Assistente tecnico per installazione software,0.80071926
sara66@example.net,77,Supporto tecnico hardware - Inizio immediato,0.7996971
sara66@example.net,284,Tecnico riparazione elettrodomestici,0.77801585
sharpgarrett@example.org,393,Meccanico veicoli,0.63331044
sharpgarrett@example.org,368,Meccanico veicoli,0.6298603
sharpgarrett@example.org,392,Meccanico veicoli,0.6295348
smithjohn@example.org,219,Addetto/a al lavaggio e trattamenti benessere - Contratto immediato!,0.7002415
smithjohn@example.org,3,Lavapiatti con possibilità di crescita - Turni flessibili,0.6832791
smithjohn@example.org,184,Addetto/a lavorazione legno - Formazione inclusa,0.64540106
swiley@example.org,211,Social Media Manager - Lavoro da remoto,0.7182753
swiley@example.org,135,Organizzatore di spazi e Creatore di contenuti - Inizio immediato!,0.557245
swiley@example.org,80,Addetto/a social media marketing - Contratto iniziale,0.5569084
twolfe@example.org,124,Graphic Designer - Creazione Loghi e Brand Identity,0.74639714
twolfe@example.org,212,Addetto/a alle pulizie industriali - Inizio immediato!,0.5925792
twolfe@example.org,379,Meccanico veicoli,0.55845386
xarmstrong@example.com,210,Grafico/a Designer - Inizio immediato!,0.7425538
xarmstrong@example.com,78,Grafico/a freelance - Collaborazione creativa,0.71023715
xarmstrong@example.com,209,Designer 3D e Tutoraggio Universitario - Opportunità di crescita!,0.6374858
zacharyjackson@example.net,208,Gestore/a Relazioni con i Clienti - Inizio Immediato!,0.7711253
zacharyjackson@example.net,218,Specialista nella Creazione di Corsi Online - Inizio Immediato!,0.6170883
zacharyjackson@example.net,56,Specialista in Creazione di Corsi Online - Inizio immediato!,0.6089156
