Rifugiato,ID Annuncio,Titolo Annuncio,Indirizzo,Somiglianza,latitudine,longitudine
cantuanthony@example.com,103,Responsabile sala - Leadership e organizzazione,"Napoli, NA, Via Accoglienza, 33, 80133",6.350450336156518,40.84611,14.26153
allendeborah@example.net,115,Editor Video Junior - Inizio immediato!,"Roma, RM, Via del Tritone, 45, 00187",9.447957017997892,41.90239,12.48348
jdunn@example.net,176,Specialista SEO e digital marketing,"Bologna, BO, Via Web, 22, 40125",7.414611436274862,44.49007,11.35394
jdunn@example.net,186,Personal Trainer e Istruttore Sportivo - Inizio immediato!,"Roma, RM, Viale del Campo Sportivo, 15, 00100",6.9602672167356845,41.87664,12.57567
jdunn@example.net,169,Web Developer e Creatore di Contenuti - Inizio immediato!,"Palermo, PA, Via Lusso, 78, 90139",6.676129421455329,38.09894,13.32227
anthonycline@example.com,85,Tecnico riparazioni elettrodomestici - Formazione offerta,"Roma, RM, Via Riparazione, 22, 00199",8.123830356707176,41.9103,12.45086
anthonycline@example.com,15,Elettricista industriale - Inserimento diretto in azienda,"Torino, TO, Corso Francia, 45, 10139",7.643184049508479,45.07584,7.65758
anthonycline@example.com,180,Progettista elettronico per settore automotive,"Venezia, VE, Via Motori, 78, 30121",7.278748026473355,45.4441,12.38098
patricia61@example.net,179,Junior data analyst - Opportunità in smart working,"Palermo, PA, Via Dati, 56, 90139",7.320208230884615,38.08505,13.43285
patricia61@example.net,147,Assistente scolastico per alunni con bisogni speciali,"Verona, VR, Via Scuola, 11, 37121",6.449955041334474,45.44123,10.99619
patricia61@example.net,47,Operatore/trice assistenza disabili - Formazione inclusa,"Verona, VR, Via Inclusiva, 33, 37122",6.287599724709541,45.43831,10.99171
hbenjamin@example.net,142,Addetto/a supporto anziani - Contratto diretto,"Roma, RM, Via Anziani, 45, 00199",8.9110777952382,41.75884,12.26779
hbenjamin@example.net,207,Assistente domestico e per disabilità - Turni flessibili!,"Napoli, NA, Via Toledo, 90, 80134",7.532486255601244,40.83752,14.2482
hbenjamin@example.net,73,Addetto/a assistenza IT - Opportunità stabile,"Torino, TO, Corso Sistema, 33, 10121",7.400226733325729,45.05976,7.66265
carla62@example.org,195,Consulente Nutrizionale e Specialista in Diete - Contratto immediato!,"Torino, TO, Corso Salute, 78, 10121",7.489392722214356,45.0987,7.68067
carla62@example.org,139,Operaio/a vinicolo in cantina - Vendemmia inclusa,"Bologna, BO, Via Vino, 56, 40125",6.183717244957146,44.49007,11.35394
carla62@example.org,134,Collaboratore per progetti di agricoltura biologica,"Firenze, FI, Via Bio, 67, 50123",6.069588088669293,43.77425,11.24721
twolfe@example.org,124,Graphic Designer - Creazione Loghi e Brand Identity,"Torino, TO, Via Logistica, 67, 10121",8.432967921706052,45.06777,7.67355
twolfe@example.org,212,Addetto/a alle pulizie industriali - Inizio immediato!,"Torino, TO, Corso Vittorio Emanuele II, 101, 10123",6.984461031968341,45.06666,7.6673
twolfe@example.org,26,Coordinatore logistica - Ottime possibilità di crescita,"Napoli, NA, Via Marina, 67, 80133",6.1474240336955255,40.84529,14.26068
kpatton@example.net,216,Assistente Scolastico e Cuoco/a per famiglia - Inizio immediato!,"Napoli, NA, Via Chiaia, 58, 80121",8.784184468107313,40.8363,14.2461
kpatton@example.net,204,Animatore/trice per eventi per bambini,"Milano, MI, Via Torino, 67, 20123",7.245004410545591,45.46052,9.18251
kpatton@example.net,106,Aiuto pasticcere per laboratorio locale - Turni mattutini,"Bologna, BO, Via Dolci, 22, 40125",7.172379231200206,44.50143,11.33232
isalas@example.org,210,Grafico/a Designer - Inizio immediato!,"Milano, MI, Corso Buenos Aires, 120, 20127",8.767990738041757,45.4977,9.22611
isalas@example.org,78,Grafico/a freelance - Collaborazione creativa,"Palermo, PA, Via Colori, 34, 90139",8.154501484116498,38.1216,13.34446
isalas@example.org,209,Designer 3D e Tutoraggio Universitario - Opportunità di crescita!,"Bologna, BO, Via Santo Stefano, 120, 40125",7.038774626804874,44.48638,11.35405
hhoward@example.net,169,Web Developer e Creatore di Contenuti - Inizio immediato!,"Palermo, PA, Via Lusso, 78, 90139",9.10461590982902,38.09894,13.32227
hhoward@example.net,202,Creazione di contenuti multilingue per aziende,"Milano, MI, Corso Garibaldi, 23, 20121",8.259426153582154,45.47304,9.18365
hhoward@example.net,74,Web designer per progetti locali - Lavoro flessibile,"Firenze, FI, Via Creativa, 78, 50123",7.733187490273724,43.77159,11.24701
codytucker@example.net,78,Grafico/a freelance - Collaborazione creativa,"Palermo, PA, Via Colori, 34, 90139",7.973414128593255,38.1216,13.34446
codytucker@example.net,210,Grafico/a Designer - Inizio immediato!,"Milano, MI, Corso Buenos Aires, 120, 20127",7.935231478199149,45.4977,9.22611
codytucker@example.net,208,Gestore/a Relazioni con i Clienti - Inizio Immediato!,"Torino, TO, Corso Vittorio Emanuele II, 30, 10121",7.330304953537363,45.06065,7.68561
nboyer@example.org,46,Tutor scolastico per ripetizioni - Compensi orari garantiti,"Bologna, BO, Via della Scuola, 78, 40125",7.915831577277609,44.5176,11.27881
nboyer@example.org,147,Assistente scolastico per alunni con bisogni speciali,"Verona, VR, Via Scuola, 11, 37121",7.287456789368768,45.44123,10.99619
nboyer@example.org,141,Educatore/trice per minori in comunità,"Milano, MI, Via Comunità, 12, 20122",7.2169031324436705,45.50334,9.20942
anthonyjohnson@example.net,218,Specialista nella Creazione di Corsi Online - Inizio Immediato!,"Napoli, NA, Via Toledo, 56, 80134",11.93348476887464,40.8456,14.24932
anthonyjohnson@example.net,56,Specialista in Creazione di Corsi Online - Inizio immediato!,"Napoli, NA, Via Estetica, 34, 80133",10.826077414312506,40.84014,14.25227
anthonyjohnson@example.net,55,Addetto/a vendite online - Contratto a progetto,"Bologna, BO, Via Digitale, 67, 40125",7.099777344258649,44.49007,11.35394
bishopclaire@example.org,181,Operaio/a lavorazione ceramica - Full time,"Milano, MI, Via Ceramica, 12, 20122",7.498898325929305,45.46691,9.19957
bishopclaire@example.org,217,Artista Scultore/a - Opportunità creativa immediata!,"Napoli, NA, Via Toledo, 115, 80134",7.370227473029475,40.83753,14.2482
bishopclaire@example.org,190,Operaio/a produzione alimentare - Turni mattutini,"Venezia, VE, Via Alimentare, 11, 30121",7.183436676758189,45.21172,12.27461
dennishall@example.org,218,Specialista nella Creazione di Corsi Online - Inizio Immediato!,"Napoli, NA, Via Toledo, 56, 80134",11.933168945543043,40.8456,14.24932
dennishall@example.org,56,Specialista in Creazione di Corsi Online - Inizio immediato!,"Napoli, NA, Via Estetica, 34, 80133",10.82529676427211,40.84014,14.25227
dennishall@example.org,55,Addetto/a vendite online - Contratto a progetto,"Bologna, BO, Via Digitale, 67, 40125",7.1043938480835,44.49007,11.35394
ryan92@example.net,195,Consulente Nutrizionale e Specialista in Diete - Contratto immediato!,"Torino, TO, Corso Salute, 78, 10121",7.964116099693941,45.0987,7.68067
ryan92@example.net,56,Specialista in Creazione di Corsi Online - Inizio immediato!,"Napoli, NA, Via Estetica, 34, 80133",6.156592920216836,40.84014,14.25227
ryan92@example.net,218,Specialista nella Creazione di Corsi Online - Inizio Immediato!,"Napoli, NA, Via Toledo, 56, 80134",6.085389014016167,40.8456,14.24932
smithjohn@example.org,219,Addetto/a al lavaggio e trattamenti benessere - Contratto immediato!,"Torino, TO, Via Po, 34, 10124",8.085453159199888,45.06544,7.69884
smithjohn@example.org,3,Lavapiatti con possibilità di crescita - Turni flessibili,"Milano, MI, Via Dante, 78, 20121",7.483333392633408,45.46754,9.18333
smithjohn@example.org,184,Addetto/a lavorazione legno - Formazione inclusa,"Firenze, FI, Via Legno, 67, 50123",7.303123664535128,43.77425,11.24721
alexandria35@example.com,82,Falegname cercasi - Contratto stabile,"Torino, TO, Via Legno, 45, 10121",7.328271539354558,45.06777,7.67355
alexandria35@example.com,100,Assistente legale junior - Formazione garantita,"Venezia, VE, Via Legale, 78, 30121",5.929319764810031,45.4441,12.38098
alexandria35@example.com,184,Addetto/a lavorazione legno - Formazione inclusa,"Firenze, FI, Via Legno, 67, 50123",5.781341537547747,43.77425,11.24721
randy59@example.com,209,Designer 3D e Tutoraggio Universitario - Opportunità di crescita!,"Bologna, BO, Via Santo Stefano, 120, 40125",7.80628871517078,44.48638,11.35405
randy59@example.com,213,Designer 3D e Specialista SEO - Inizio immediato!,"Roma, RM, Via del Tritone, 56, 00187",7.726923475427671,41.90253,12.484
randy59@example.com,18,Tecnico del legno per lavori artigianali - Opportunità locale,"Verona, VR, Via Mazzini, 15, 37121",6.810653550756068,45.44165,10.99665
kennethhouston@example.org,135,Organizzatore di spazi e Creatore di contenuti - Inizio immediato!,"Torino, TO, Via Paesaggi, 78, 10121",9.49068529277202,45.06491,7.69233
kennethhouston@example.org,218,Specialista nella Creazione di Corsi Online - Inizio Immediato!,"Napoli, NA, Via Toledo, 56, 80134",7.263503635402525,40.8456,14.24932
kennethhouston@example.org,56,Specialista in Creazione di Corsi Online - Inizio immediato!,"Napoli, NA, Via Estetica, 34, 80133",7.251312814069688,40.84014,14.25227
blakenunez@example.org,126,Saldatore/a esperto/a - Opportunità di crescita professionale!,"Bologna, BO, Via Freschi, 22, 40125",7.981452315443669,44.51065,11.48235
blakenunez@example.org,208,Gestore/a Relazioni con i Clienti - Inizio Immediato!,"Torino, TO, Corso Vittorio Emanuele II, 30, 10121",7.970975200122313,45.06065,7.68561
blakenunez@example.org,69,Addetto/a ristorante in struttura turistica - Full time,"Palermo, PA, Via Sapori, 56, 90139",7.041529386221947,38.12143,13.34366
dennisjose@example.net,164,Sarta/o per riparazioni e cucito ,"Firenze, FI, Via Natura, 67, 50123",7.745531081654152,43.77425,11.24721
dennisjose@example.net,216,Assistente Scolastico e Cuoco/a per famiglia - Inizio immediato!,"Napoli, NA, Via Chiaia, 58, 80121",7.579191408984675,40.8363,14.2461
dennisjose@example.net,182,Addetto/a cucitura abiti sartoriali,"Roma, RM, Via Sartoria, 45, 00199",7.540657540997591,41.90408,12.39488
garciachristina@example.net,82,Falegname cercasi - Contratto stabile,"Torino, TO, Via Legno, 45, 10121",7.415066903954753,45.06777,7.67355
garciachristina@example.net,126,Saldatore/a esperto/a - Opportunità di crescita professionale!,"Bologna, BO, Via Freschi, 22, 40125",6.544606326403746,44.51065,11.48235
garciachristina@example.net,100,Assistente legale junior - Formazione garantita,"Venezia, VE, Via Legale, 78, 30121",6.406746577723988,45.4441,12.38098
lgreen@example.com,104,Barista esperto in mixology - Opportunità di crescita,"Torino, TO, Corso Cocktail, 67, 10121",8.411018807424545,45.21367,7.73114
lgreen@example.com,5,Barista in caffetteria accogliente - Full time o part time,"Bologna, BO, Via Rizzoli, 99, 40125",7.262341578399308,44.49457,11.34535
lgreen@example.com,66,Organizzatore di eventi - Lavoro dinamico,"Bologna, BO, Via Feste, 89, 40125",6.885137824207415,44.49007,11.35394
karlwillis@example.net,202,Creazione di contenuti multilingue per aziende,"Milano, MI, Corso Garibaldi, 23, 20121",11.093820731731022,45.47304,9.18365
karlwillis@example.net,129,Creatore di contenuti multilingue per aziende,"Palermo, PA, Via Flotta, 56, 90139",9.306016510443108,38.11197,13.35061
karlwillis@example.net,194,Responsabile amministrazione in azienda familiare,"Firenze, FI, Via Famiglia, 67, 50123",7.002331915971428,43.80686,11.22081
sanderspeggy@example.net,48,Insegnante di italiano per stranieri - Progetto inclusivo,"Genova, GE, Via Multicultura, 11, 16128",7.516756689911716,44.40167,8.93396
sanderspeggy@example.net,21,Addetto/a alla pulizia industriale,"Milano, MI, Via Ripamonti, 23, 20141",7.239749584452716,45.44797,9.1977
sanderspeggy@example.net,212,Addetto/a alle pulizie industriali - Inizio immediato!,"Torino, TO, Corso Vittorio Emanuele II, 101, 10123",7.02698201871529,45.06666,7.6673
ryan96@example.com,186,Personal Trainer e Istruttore Sportivo - Inizio immediato!,"Roma, RM, Viale del Campo Sportivo, 15, 00100",9.683337656965222,41.87664,12.57567
ryan96@example.com,150,Personal Trainer - Inizio Immediato!,"Venezia, VE, Via Lavoro, 78, 30121",9.352876599608924,45.39603,11.99443
ryan96@example.com,106,Aiuto pasticcere per laboratorio locale - Turni mattutini,"Bologna, BO, Via Dolci, 22, 40125",7.183483626458594,44.50143,11.33232
maxwellkim@example.net,207,Assistente domestico e per disabilità - Turni flessibili!,"Napoli, NA, Via Toledo, 90, 80134",8.747744132171073,40.83752,14.2482
maxwellkim@example.net,216,Assistente Scolastico e Cuoco/a per famiglia - Inizio immediato!,"Napoli, NA, Via Chiaia, 58, 80121",8.012665040311228,40.8363,14.2461
maxwellkim@example.net,135,Organizzatore di spazi e Creatore di contenuti - Inizio immediato!,"Torino, TO, Via Paesaggi, 78, 10121",7.82790138989627,45.06491,7.69233
jenniferking@example.net,206,Esperto/a di automazione e organizzazione eventi - Contratto immediato!,"Bologna, BO, Via Indipendenza, 15, 40121",7.761054598057267,44.49669,11.34319
jenniferking@example.net,66,Organizzatore di eventi - Lavoro dinamico,"Bologna, BO, Via Feste, 89, 40125",6.77495787247908,44.49007,11.35394
jenniferking@example.net,190,Operaio/a produzione alimentare - Turni mattutini,"Venezia, VE, Via Alimentare, 11, 30121",6.640200578593319,45.21172,12.27461
